Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C19, C22, C7",0603,5,10u,GRM188R61A106ME69J
"C11, C12, C13, C15, C17, C2, C20, C21, C28, C29, C30, C31, C5, C6, C8, C9",0402,16,1u,CL05A105KP5NNNC
"C23, C3",0805,2,22u,C2012X5R1V226M125AC
"C24, C25",0603,2,22u,GRM188R60J226MEA0J
"C32, C33",0402,2,22p,GRM1555C1H220JA01J
"D1, D3",0402,2,LED,QBLP595-IG
"D7, D8",0402,2,CG0402MLC-05LG,CG0402MLC-05LG
J1,TC0203620000G,1,TC0203620000G,TC0203620000G
J3,CUI_TB001-500-07BE,1,TB001-500-07BE,TB001-500-07BE
J4,U.FL-R-SMT-1_10_,1,U.FL-R-SMT-1_10_,U.FL-R-SMT-1(10)
J5,SM04B-SRSS-TB_LFSN_,1,C239522,C239522
"L1, L3",0805,2,2.2u,LQM21PN2R2MGHL
Q1,SOT-23,1,DMG2302UKQ-7,DMG2302UKQ-7
Q3,SOT-23,1,AO3401A,AO3401A
"R1, R24, R25, R6",0402,4,0,RC0402FR-070RL
"R10, R15, R18, R20, R26, R7, R8",0402,7,10k,AC0402FR-0710KL
"R11, R12",0402,2,1M,CRGCQ0402F1M0
R13,0402,1,36.5k,RC0402FR-0736K5L
R14,0402,1,511,RC0402FR-07511RL
"R16, R17, R2",0402,3,110k,RC0402FR-07110KL
"R19, R21, R22, R23, R5",0402,5,1k,WR04X1001FTL
"R3, R4",0402,2,4.7k,CRGCQ0402F4K7
R9,0402,1,120,RC0402FR-07120RL
"SW1, SW2, SW3",SW_Push_1P1T-SH_NO_CK_KMR2xxG,3,KMR223GLFG,KMR223GLFG
U1,LC76GABMD,1,LC76GABMD,LC76GABMD
"U10, U3, U8",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,3,TPS22810DRV,TPS22810DRVR
U11,45300140R,1,453-00140R,453-00140R
U2,DSS0012A,1,TPS61096ADSSR,TPS61096ADSSR
U4,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,1,TPS63900DSKR,TPS63900DSKR
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,THVD1400D,THVD1400DR
U6,SOT65P210X110-5N,1,TLV521DCKR,TLV521DCKR
U9,LQFP-64_10x10mm_P0.5mm,1,STM32L073RZTx,STM32L073RZT6
Y1,CM8V32768TA020125,1,CM8V-T1A-32.768kHz-12.5pF-20PPM-TC-QC,
