Designator,Mid X,Mid Y,Rotation,Layer
BT1,15.450237,47.216083,90.0,bottom
C1,5.400234,20.541082,90.0,top
C10,13.25,71.9,90.0,top
C11,18.55,61.45,180.0,top
C12,31.2,73.0,90.0,top
C13,27.3,46.65,270.0,top
C15,23.12,52.1,0.0,top
C17,10.450237,31.941083,0.0,top
C19,9.57,74.704999,0.0,top
C2,29.05,15.6,90.0,top
C20,8.97,73.405001,0.0,top
C21,8.97,76.005,0.0,top
C22,3.460237,29.531083,0.0,top
C23,10.200234,19.64108,90.0,top
C24,3.460237,35.731083,0.0,top
C25,3.460236,34.131083,0.0,top
C28,23.05,61.45,180.0,top
C29,25.8,61.45,0.0,top
C3,12.350237,19.641083,90.0,top
C30,14.55,71.55,90.0,top
C31,31.2,71.0,270.0,top
C32,27.25,41.35,270.0,top
C33,27.25,43.25,90.0,top
C5,28.3,45.15,90.0,top
C6,-11.5,55.2,270.0,bottom
C7,16.0,53.4,0.0,top
C8,16.6,52.1,0.0,top
C9,23.5,37.5,180.0,top
D1,5.212737,40.781083,180.0,top
D7,24.765,11.9,0.0,top
D8,26.765,11.910001,180.0,top
J1,38.95,29.8,270.0,bottom
J3,25.8,4.5,0.0,bottom
J4,-10.8415,75.805,270.0,top
J5,-3.3,6.786,180.0,bottom
L1,4.100235,18.141082,0.0,top
L3,0.960237,31.868583,270.0,top
Q1,9.300237,35.303583,90.0,top
Q3,6.6,13.0375,90.0,top
R1,5.050237,16.191082,90.0,top
R10,30.55,19.7,180.0,top
R11,12.750237,28.641083,270.0,top
R12,12.750236,30.641083,270.0,top
R13,6.950237,31.841083,180.0,top
R14,5.850237,34.351082,270.0,top
R15,10.096554,16.290324,180.0,top
R16,10.100234,17.241082,0.0,top
R17,9.200237,37.803583,0.0,top
R18,40.8,11.5,0.0,bottom
R19,9.58,69.205,0.0,top
R2,7.200234,16.441082,180.0,top
R20,30.3,29.1,270.0,bottom
R21,9.57,70.305001,0.0,top
R22,34.5,62.6,270.0,top
R23,31.7,62.6,270.0,top
R24,8.97,77.105,180.0,top
R25,-6.685049,75.805,180.0,top
R26,-3.6,61.2,270.0,bottom
R3,5.250237,39.741083,0.0,top
R4,-10.440084,55.2,90.0,bottom
R6,28.8,46.9,0.0,top
R7,37.3,11.5,0.0,bottom
R8,-5.3,52.3,0.0,bottom
R9,25.75,12.901,0.0,top
SW1,-7.040084,56.5,0.0,bottom
SW2,-7.158332,49.9,0.0,bottom
SW3,-6.999999,62.5,0.0,bottom
U1,1.6,72.5,180.0,top
U10,9.1,80.1,90.0,top
U11,22.6,68.95,90.0,top
U2,7.650234,19.191082,0.0,top
U3,14.937737,19.341083,180.0,top
U4,3.850237,31.841082,180.0,top
U5,25.75,17.2,180.0,top
U6,10.850237,29.541083,90.0,top
U8,33.5,12.1,180.0,top
U9,20.0,44.8,90.0,top
Y1,28.95,42.3,90.0,top
