Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C22, C7",603,3,GRM188R61A106ME69J,GRM188R61A106ME69J
"C11, C12, C13, C15, C17, C2, C28, C29, C30, C31, C5, C6, C8, C9",402,14,CL05A105KP5NNNC,CL05A105KP5NNNC
"C24, C25",603,2,GRM188R60J226MEA0J,GRM188R60J226MEA0J
"C32, C33",402,2,GRM1555C1H220JA01J,GRM1555C1H220JA01J
D3,402,1,QBLP595-IG,QBLP595-IG
J1,TC0203620000G,1,TC0203620000G,TC0203620000G
J5,SM04B-SRSS-TB_LFSN_,1,C239522,C239522
L3,805,1,LQM21PN2R2MGHL,LQM21PN2R2MGHL
Q1,SOT-23,1,DMG2302UKQ-7,DMG2302UKQ-7
Q3,SOT-23,1,AO3401A,AO3401A
"R11, R12",402,2,CRGCQ0402F1M0,CRGCQ0402F1M0
R13,402,1,RC0402FR-0736K5L,RC0402FR-0736K5L
R14,402,1,RC0402FR-07511RL,RC0402FR-07511RL
R17,402,1,RC0402FR-07110KL,RC0402FR-07110KL
"R18, R20, R26, R7, R8",402,5,AC0402FR-0710KL,AC0402FR-0710KL
"R22, R23, R5",402,3,WR04X1001FTL,WR04X1001FTL
R4,402,1,CRGCQ0402F4K7,CRGCQ0402F4K7
R6,402,1,RC0402FR-070RL,RC0402FR-070RL
"SW1, SW2, SW3",SW_Push_1P1T-SH_NO_CK_KMR2xxG,3,KMR223GLFG,KMR223GLFG
U11,45300140R,1,453-00140R,453-00140R
U4,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,1,TPS63900DSKR,TPS63900DSKR
U6,SOT65P210X110-5N,1,TLV521DCKR,TLV521DCKR
U8,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TPS22810DRV,TPS22810DRVR
U9,LQFP-64_10x10mm_P0.5mm,1,STM32L073RZTx,STM32L073RZT6
Y1,CM8V32768TA020125,1,CM8V-T1A-32.768kHz-12.5pF-20PPM-TC-QC,
