Designator,Mid X,Mid Y,Rotation,Layer
BT1,15.450237,47.216083,90.0,bottom
C10,13.25,71.9,90.0,top
C11,18.55,61.45,180.0,top
C12,31.2,73.0,90.0,top
C13,27.3,46.65,270.0,top
C15,23.12,52.1,0.0,top
C17,10.450237,31.941083,0.0,top
C2,29.05,15.6,90.0,top
C22,3.460237,29.531083,0.0,top
C24,3.460237,35.731083,0.0,top
C25,3.460236,34.131083,0.0,top
C28,23.05,61.45,180.0,top
C29,25.8,61.45,0.0,top
C30,14.55,71.55,90.0,top
C31,31.2,71.0,270.0,top
C32,27.25,41.35,270.0,top
C33,27.25,43.25,90.0,top
C5,28.3,45.15,90.0,top
C6,-11.5,55.2,270.0,bottom
C7,16.0,53.4,0.0,top
C8,16.6,52.1,0.0,top
C9,23.5,37.5,180.0,top
J1,38.95,29.8,270.0,bottom
J5,-3.3,6.786,180.0,bottom
L3,0.960237,31.868583,270.0,top
Q1,9.300237,35.303583,90.0,top
Q3,6.6,13.0375,90.0,top
R11,12.750237,28.641083,270.0,top
R12,12.750236,30.641083,270.0,top
R13,6.950237,31.841083,180.0,top
R14,5.850237,34.351082,270.0,top
R17,9.200237,37.803583,0.0,top
R18,40.8,11.5,0.0,bottom
R20,30.3,29.1,270.0,bottom
R22,34.5,62.6,270.0,top
R23,31.7,62.6,270.0,top
R26,-3.6,61.2,270.0,bottom
R4,-10.440084,55.2,90.0,bottom
R6,28.8,46.9,0.0,top
R7,37.3,11.5,0.0,bottom
R8,-5.3,52.3,0.0,bottom
SW1,-7.040084,56.5,0.0,bottom
SW2,-7.158332,49.9,0.0,bottom
SW3,-6.999999,62.5,0.0,bottom
U11,22.6,68.95,90.0,top
U4,3.850237,31.841082,180.0,top
U6,10.850237,29.541083,90.0,top
U8,33.5,12.1,180.0,top
U9,20.0,44.8,90.0,top
Y1,28.95,42.3,90.0,top
